time_s,freq_dev_hz,variant,variant_label
527.0,0.020412068871196176,bf_only,AGC redistribution only (bf=second)
528.0,0.03689874566723095,bf_only,AGC redistribution only (bf=second)
529.0,0.03706085893552036,bf_only,AGC redistribution only (bf=second)
530.0,0.008771590305260979,bf_only,AGC redistribution only (bf=second)
531.0,0.01092440247167481,bf_only,AGC redistribution only (bf=second)
532.0,0.009469783242246343,bf_only,AGC redistribution only (bf=second)
533.0,0.016388645177132233,bf_only,AGC redistribution only (bf=second)
534.0,0.01776076483821054,bf_only,AGC redistribution only (bf=second)
535.0,0.023547338548022267,bf_only,AGC redistribution only (bf=second)
536.0,0.0027682370207449125,bf_only,AGC redistribution only (bf=second)
537.0,0.016242267308186342,bf_only,AGC redistribution only (bf=second)
538.0,0.022712599320109383,bf_only,AGC redistribution only (bf=second)
539.0,0.03735673494713154,bf_only,AGC redistribution only (bf=second)
540.0,0.008026172884392224,bf_only,AGC redistribution only (bf=second)
541.0,0.010155952401951218,bf_only,AGC redistribution only (bf=second)
542.0,0.01555012696821123,bf_only,AGC redistribution only (bf=second)
543.0,0.01253848977663452,bf_only,AGC redistribution only (bf=second)
544.0,0.020817139743334323,bf_only,AGC redistribution only (bf=second)
545.0,0.01718973996876816,bf_only,AGC redistribution only (bf=second)
546.0,0.021823654941908188,bf_only,AGC redistribution only (bf=second)
547.0,0.034607386833931386,bf_only,AGC redistribution only (bf=second)
548.0,0.025078413014778533,bf_only,AGC redistribution only (bf=second)
549.0,0.021864352180154256,bf_only,AGC redistribution only (bf=second)
550.0,0.01795762766878095,bf_only,AGC redistribution only (bf=second)
551.0,0.020954948645184324,bf_only,AGC redistribution only (bf=second)
552.0,0.015253629726958984,bf_only,AGC redistribution only (bf=second)
553.0,0.030361506773872726,bf_only,AGC redistribution only (bf=second)
554.0,0.03409785860762682,bf_only,AGC redistribution only (bf=second)
555.0,0.02473104069957266,bf_only,AGC redistribution only (bf=second)
556.0,0.02372850591663589,bf_only,AGC redistribution only (bf=second)
557.0,0.01828473329255509,bf_only,AGC redistribution only (bf=second)
558.0,0.006690933902491203,bf_only,AGC redistribution only (bf=second)
559.0,0.007490919804560292,bf_only,AGC redistribution only (bf=second)
560.0,0.02325947238532855,bf_only,AGC redistribution only (bf=second)
561.0,0.029601754801564795,bf_only,AGC redistribution only (bf=second)
562.0,0.026469400143418476,bf_only,AGC redistribution only (bf=second)
563.0,0.020307228406140077,bf_only,AGC redistribution only (bf=second)
